code,material,en,source,parent_code,single_use,groupname,fr,de
G194,Metal,"Cables, metal wire(s) often inside rubber or plastic tubes",Construction,G194,False,infrastructure,"Câbles, fil métallique","Kabel, Metalldraht oft in Gummi- oder Kunststoffschläuchen"
G195,Metal,Batteries - household,Utility items,G195,False,personal items,Batteries domestiques,Batterien (Haushalt)
G196,Metal,Large metallic objects,Undefined,G196,False,unclassified,Grands objets métalliques,Grosse metallische Gegenstände
G197,Metal,Other metal,Undefined,G197,False,infrastructure,Autre métal,sonstiges Metall
G198,Metal,Other metal pieces < 50cm,Undefined,G198,False,infrastructure,Autres pièces métalliques < 50cm,Andere Metallteile < 50 cm
G199,Metal,Other metal pieces > 50cm,Undefined,G199,False,infrastructure,Autres pièces métalliques > 50cm,Andere Metallteile > 50 cm
G146,Paper,"Paper, cardboard",Undefined,G146,False,packaging non food,"Papier, carton","Papier, Karton"
G147,Paper,Paper bags,Packaging,G147,False,packaging non food,Sacs en papier,"Papiertragetaschen, (Papiertüten)"
G148,Paper,Cardboard (boxes and fragments),Packaging,G148,False,packaging non food,Boîtes en carton,Kartonkisten und Stücke
G149,Paper,Paper packaging,Packaging,G149,False,packaging non food,Emballage en papier,Papierverpackungen
G150,Paper,"Milk cartons, tetrapack",Packaging,G150,False,food and drink,"Carton de lait, tetrapack","Milchkartons, Tetrapack"
G151,Paper,"Cartons, Tetrapacks",Packaging,G151,False,food and drink,"Cartons, Tetrapacks","Tetrapack, Kartons"
G152,Paper,"Cigarette boxes, tobacco related paper/cardboard",Tobacco,G152,False,tobacco,"Boîtes à cigarettes, papier/carton","Papier &Karton;Zigarettenschachteln, Papier/Karton Verpackung für Tabakwaren"
G153,Paper,"Cups, food containers, wrappers (paper)",Packaging,G153,True,food and drink,Gobelets en papier et récipients alimentaires,"Papierbecher, Lebensmittelverpackungen aus Papier/ Karton"
G154,Paper,Newspapers or magazines,Utility items,G154,False,personal items,Journaux ou magazines,Zeitungen oder Zeitschriften
G155,Paper,Fireworks paper tubes and fragments,Recreation,G155,False,recreation,Tubes et fragments de papier: feux d'artifice,Feuerwerkspapierhülsen und -fragmente
G156,Paper,Paper fragments,Undefined,G156,False,packaging non food,Fragments de papier,Papierfragmente
G157,Paper,Paper,Undefined,G157,False,packaging non food,Papier,Papier
G158,Paper,Other paper items,Undefined,G158,False,packaging non food,Autres articles en papier,Sonstige Gegenstände aus Papier
G1,Plastic,Six pack rings,Packaging,G1,True,food and drink,Anneaux pour six packs,Sixpack-Ringe
G10,Plastic,Food containers single use foamed or plastic,Packaging,G10,True,food and drink,Emballage fast food,Lebensmittelbehälter zum einmaligen Gebrauch aus Schaumstoff oder Kunststoff
