lake,river_name,size,class,attribute,slug,attribute_type
Le Léman,Le Flon de Tartegnin,10,10,Fluss,rolle-plage,river intersection
Le Léman,La Morges,9,9,Fluss,tolochenaz,river intersection
Le Léman,La Morges,9,9,Fluss,la-morges,river intersection
Le Léman,Le Venoge,8,7,Fluss,preverenges,river intersection
Le Léman,Le Venoge,8,7,Fluss,preverenges-le-sout,river intersection
Le Léman,Le Venoge,8,7,Fluss,saint-sulpice,river intersection
Le Léman,Le Rhône,1,4,Fluss,baby-plage-geneva,river intersection
Le Léman,Le Rhône,1,4,Fluss,pont-sous-terre,river intersection
Le Léman,Le Rhône,1,4,Fluss,baby-plage-ii-geneve,river intersection
Le Léman,Le Rhône,1,4,Fluss,rocky-plage,river intersection
Le Léman,L'Eau Noire,10,10,Fluss,la-pecherie,river intersection
Le Léman,Le Flon de Tartegnin,10,10,Fluss,rolle-plage,river intersection
Le Léman,L'Aubonne,9,9,Fluss,la-pecherie,river intersection
Le Léman,Le Boiron de Nyon,9,9,Fluss,boiron,river intersection
Le Léman,Le Boiron de Nyon,9,9,Fluss,tolochenaz,river intersection
Le Léman,La Veveyse,8,8,Fluss,quai-maria-belgia,river intersection
Le Léman,La Veveyse,8,8,Fluss,oyonne,river intersection
Le Léman,La Veveyse,8,8,Fluss,arabie,river intersection
Le Léman,La Veveyse,8,8,Fluss,veveyse,river intersection
Le Léman,L'Ognona,10,10,Fluss,quai-maria-belgia,river intersection
Le Léman,L'Ognona,10,10,Fluss,anarchy-beach,river intersection
Le Léman,L'Ognona,10,10,Fluss,oyonne,river intersection
Le Léman,L'Ognona,10,10,Fluss,bain-des-dames,river intersection
Le Léman,L'Ognona,10,10,Fluss,arabie,river intersection
Le Léman,L'Ognona,10,10,Fluss,veveyse,river intersection
Le Léman,L'Ognona,10,10,Fluss,le-port,river intersection
Le Léman,L'Ognona,10,10,Fluss,ognonnaz-1,river intersection
Le Léman,La Veveyse,8,8,Fluss,quai-maria-belgia,river intersection
Le Léman,La Veveyse,8,8,Fluss,oyonne,river intersection
Le Léman,La Veveyse,8,8,Fluss,arabie,river intersection
Le Léman,La Veveyse,8,8,Fluss,veveyse,river intersection
Le Léman,L'Ognona,10,10,Fluss,quai-maria-belgia,river intersection
Le Léman,L'Ognona,10,10,Fluss,anarchy-beach,river intersection
Le Léman,L'Ognona,10,10,Fluss,oyonne,river intersection
Le Léman,L'Ognona,10,10,Fluss,bain-des-dames,river intersection
Le Léman,L'Ognona,10,10,Fluss,arabie,river intersection
Le Léman,L'Ognona,10,10,Fluss,veveyse,river intersection
Le Léman,L'Ognona,10,10,Fluss,le-port,river intersection
