NAMN,NAMN_2,LAUFNR,BREITE,KLASSE,OBJVAL,slug
Zürichsee,Aabach,"0","7","8",Fluss,aabach
Zürichsee,Wagnerbach,"0","9","9",Fluss,rastplatz-stampf
Zürichsee,Wagnerbach,"0","9","9",Fluss,jona-river-rastplatz
Zürichsee,Wagnerbach,"0","9","9",Fluss,strandbeiz
Zürichsee,Jona,"0","7","7",Fluss,rastplatz-stampf
Zürichsee,Jona,"0","7","7",Fluss,jona-river-rastplatz
Zürichsee,Jona,"0","7","7",Fluss,strandbeiz
Zürichsee,Wagnerbach,"0","9","9",Fluss,rastplatz-stampf
Zürichsee,Wagnerbach,"0","9","9",Fluss,jona-river-rastplatz
Zürichsee,Wagnerbach,"0","9","9",Fluss,strandbeiz
Lago di Lugano,Cassarate,"0","7","7",Fluss,foce-del-cassarate
Lago di Lugano,Cassarate,"0","7","7",Fluss,lido
Lago di Lugano,Cassarate,"0","7","7",Fluss,lugano-centro
Lago di Lugano,Cassarate,"0","7","7",Fluss,spiaggia-parco-ciani
Lago di Lugano,Cassarate,"0","7","7",Fluss,foce-del-cassarate
Lago di Lugano,Cassarate,"0","7","7",Fluss,lido
Lago di Lugano,Cassarate,"0","7","7",Fluss,lugano-centro
Lago di Lugano,Cassarate,"0","7","7",Fluss,spiaggia-parco-ciani
Bielersee,La Thielle,"0","6","6",Fluss,mullermatte
Bielersee,La Thielle,"0","6","6",Fluss,strandboden-biel
Bielersee,La Thielle,"0","6","6",Fluss,nidau-strand
Bielersee,La Suze,"0","7","7",Fluss,mullermatte
Bielersee,La Suze,"0","7","7",Fluss,strandboden-biel
Bielersee,La Suze,"0","7","7",Fluss,nidau-strand
Bielersee,Aare,"0","14","4",Fluss,mullermatte
Bielersee,Aare,"0","14","4",Fluss,strandboden-biel
Bielersee,Aare,"0","14","4",Fluss,nidau-strand
Bielersee,Aare,"0","14","4",Fluss,mullermatte
Bielersee,Aare,"0","14","4",Fluss,strandboden-biel
Bielersee,Aare,"0","14","4",Fluss,nidau-strand
Bielersee,La Thielle,"0","6","6",Fluss,mullermatte
Bielersee,La Thielle,"0","6","6",Fluss,strandboden-biel
Bielersee,La Thielle,"0","6","6",Fluss,nidau-strand
Zugersee,Lorze,"0","6","5",Fluss,zugerseecholler_cham_blarerm
Zugersee,Lorze,"0","6","5",Fluss,zugerseecholler_cham_blarerm
Zugersee,Lorze,"0","6","5",Fluss,zugerseecholler_cham_blarerm
Zugersee,Lorze,"0","6","5",Fluss,zugerseecholler_cham_blarerm
Lac de Neuchâtel,Le Seyon,"0","8","8",Fluss,evole-plage
Lac de Neuchâtel,Le Seyon,"0","8","8",Fluss,plage-de-serriere
Lac de Neuchâtel,Le Seyon,"0","8","8",Fluss,evole-plage
Lac de Neuchâtel,Le Seyon,"0","8","8",Fluss,plage-de-serriere
Lac de Neuchâtel,L'Areuse,"0","7","7",Fluss,pointe-dareuse
Lac de Neuchâtel,Le Vivier,"0","9","7",Fluss,pointe-dareuse
Lac de Neuchâtel,L'Areuse,"0","7","7",Fluss,pointe-dareuse
Lac de Neuchâtel,Le Vivier,"0","9","7",Fluss,pointe-dareuse
Lac de Neuchâtel,La Brine,"0","9","9",Fluss,signalpain
Lac de Neuchâtel,La Brine,"0","9","9",Fluss,pecos-plage
Lac de Neuchâtel,Le Bey,"0","9","9",Fluss,signalpain
Lac de Neuchâtel,Le Bey,"0","9","9",Fluss,pecos-plage
Lac de Neuchâtel,La Brine,"0","9","9",Fluss,signalpain
Lac de Neuchâtel,La Brine,"0","9","9",Fluss,pecos-plage
Lac de Neuchâtel,Le Bey,"0","9","9",Fluss,signalpain
Lac de Neuchâtel,Le Bey,"0","9","9",Fluss,pecos-plage
Lac de Neuchâtel,La Thielle,"0","6","6",Fluss,la-petite-plage
Lac de Neuchâtel,La Thielle,"0","6","6",Fluss,signalpain
Lac de Neuchâtel,Canal Oriental,"0","18","8",Fluss,la-petite-plage
Lac de Neuchâtel,Canal Oriental,"0","18","8",Fluss,signalpain
Lac de Neuchâtel,La Thielle,"0","6","6",Fluss,la-petite-plage
Lac de Neuchâtel,La Thielle,"0","6","6",Fluss,signalpain
Lac de Neuchâtel,Le Buron,"0","8","8",Fluss,la-petite-plage
Lac de Neuchâtel,Le Buron,"0","8","8",Fluss,signalpain
Lac de Neuchâtel,Canal Oriental,"0","18","8",Fluss,la-petite-plage
Lac de Neuchâtel,Canal Oriental,"0","18","8",Fluss,signalpain
Lac de Neuchâtel,Le Buron,"0","8","8",Fluss,la-petite-plage
Lac de Neuchâtel,Le Buron,"0","8","8",Fluss,signalpain
Lac de Neuchâtel,Ruisseau de Crêt Moron,"0","10","10",Fluss,nouvelle-plage
Lac de Neuchâtel,Ruisseau de Crêt Moron,"0","10","10",Fluss,nouvelle-plage
Lac de Neuchâtel,Ruisseau de la Molliette,"0","9","9",Fluss,impromptu_cudrefin
Lac de Neuchâtel,Ruisseau de la Molliette,"0","9","9",Fluss,neuenburgersee_cudrefin_mattera
Lac de Neuchâtel,Ruisseau de la Molliette,"0","9","9",Fluss,impromptu_cudrefin
Lac de Neuchâtel,Ruisseau de la Molliette,"0","9","9",Fluss,neuenburgersee_cudrefin_mattera
Thunersee,Schifffahrtskanal,"0","20","10",Fluss,weissenau-neuhaus
Thunersee,Aare,"0","5","4",Fluss,weissenau-neuhaus
Thunersee,Lombach,"0","7","7",Fluss,weissenau-neuhaus
Thunersee,Lombach,"0","7","7",Fluss,sundbach-strand
Thunersee,Aare,"0","5","4",Fluss,weissenau-neuhaus
Thunersee,Lombach,"0","7","7",Fluss,weissenau-neuhaus
Thunersee,Lombach,"0","7","7",Fluss,sundbach-strand
Thunersee,N_P,"0","9","9",Fluss,sundbach-strand
Thunersee,N_P,"0","9","9",Fluss,sundbach-strand
Thunersee,N_P,"0","10","10",Fluss,sundbach-strand
Thunersee,N_P,"0","10","10",Fluss,sundbach-strand
Thunersee,Chrutbach,"0","10","10",Fluss,sundbach-strand
Thunersee,Chrutbach,"0","10","10",Fluss,sundbach-strand
Thunersee,Hünibach,"0","9","9",Fluss,thun-strandbad
